gif_name	question	a1	a2	a3	a4	a5	answer	vid_id	key
tumblr_nqc2mbmU2J1uxhtnwo1_400	What does the woman do 4 times ?	flick	do gymnastic	chew food	shake hips left and right	pat the back of the other man	2	ACTION1	5
tumblr_nd53vw6Crc1r7na6zo1_400	What does the man do 5 times ?	tug baby arms	go around the cons	grab	pushes off	wave head	4	ACTION2	16
tumblr_nekvrnW3rh1sxaoaro1_400	What does the woman do 5 times ?	vibrate hands	holds a phone towards face	sway hips	wag their hand	point to somewhere	2	ACTION3	21
tumblr_nk172bbdPI1u1lr18o1_250	What does the butterfly do 10 or more than 10 times ?	stuff marshmallow	holds a phone towards face	fall over	talk	flap wings	4	ACTION4	26
tumblr_npvbzhDifH1sgulfgo1_250	What does the woman do 10 or more than 10 times ?	snap	skip back and worth	shake fists	jump in the tub	move here and there	2	ACTION5	33
tumblr_nexzlj5e6C1u2tewlo1_250	What does the woman do 6 times ?	pull a doll	take steps	hand out award	tilt	point at another kid	1	ACTION6	35
tumblr_nc7ddgZRVe1qmoqlto1_400	What does the man do 2 times ?	skateboard	strum	grab a belt	tilt	remember war	2	ACTION7	36
tumblr_njojltnMEr1u8uuuso1_250	What does the man do 2 times ?	fill pipe	put hand under body	talk	wag	sway	1	ACTION8	39
tumblr_n9bl6nuCId1tu1wxio1_400	What does the man do 3 times ?	nod head	strum the guitar	shake sholder to the left and right	stab	miss ball	0	ACTION9	40
tumblr_nb6hw14zjB1thjsh8o1_250	What does the woman do 4 times ?	split hair	fall toward a man	turn to left	snap	swing arm	4	ACTION10	44
tumblr_nci5qbHspi1ts3h88o1_250	What does the man do 6 times ?	kick	wiggle finger back and forth	air-drawing	move by peoples	pass other cars	0	ACTION11	45
tumblr_nezfs4uELd1u1a7cmo1_250	What does the man do 3 times ?	step like a goose	react to hands	making face face	adjust waistband	sway microphone left and right	3	ACTION12	52
tumblr_m6dwyyGQlh1r4glwho1_250	What does the man do 8 times ?	work out on bar	flinch eyes	paw at a bean	step	twirl fireworks	3	ACTION13	60
tumblr_no5ozbdI041rs3gv1o1_250	What does the man do 5 times ?	wave head	peek	move by peoples	jump from left to right	go around the cons	0	ACTION14	63
tumblr_nq7mte3g2c1uxkmnto1_400	What does the man in white do 2 times ?	pretend to pull something towards her	dig	pull up shirt	convulse	stop running	2	ACTION15	65
tumblr_nh5nhnKmmb1u2a5o6o1_250	What does the woman do 3 times ?	sway microphone left and right	work out on bar	move here and there	turn hips	side step legs	3	ACTION16	66
tumblr_nadgs9WTuj1taadn9o1_250	What do the women do 4 times ?	step like a goose	shift hips	say	pat	struggle	1	ACTION17	69
tumblr_nqfhegeUAz1uz0hico1_250	What does the man do 3 times ?	shake body left and right	high-fives	stomp for fire extinction	rub hand	roll on the beach	3	ACTION18	70
tumblr_nqa7lrXdot1un47qio1_100	What does the man do 2 times ?	step on someones' hands	work out on bar	paw man's face	dance	spin a gun on right hand	3	ACTION19	72
tumblr_njabihiB4w1tuh8exo1_400	What does the woman do 2 times ?	spin around on a stage	shuffle	snap	swing arm	paw toward a cat	3	ACTION20	77
tumblr_ndczvoKAOJ1u0du9uo1_250	What does the woman do 2 times ?	squeeze a doll	grab	snap	split hair	swing arms	4	ACTION21	91
tumblr_naj2f9Werh1sf8k6bo1_r2_250	What does the woman in the middle do 9 times ?	flip sign	tries to bite a toy	air-drawing	bounce breasts	jump up and down	4	ACTION22	94
tumblr_mzydvj6lzL1tq903to1_250	What does the man do 3 times ?	move head	work out on bar	jump from left to right	undulate	fall toward a man	0	ACTION23	97
tumblr_ne47rccySt1rlvlj0o1_250	What does the man do 3 times ?	go around the cons	push any objects comes to him	wave hand	bounce over a piano	grab	2	ACTION24	102
tumblr_ne88jo6JOW1u0lffxo1_400	What does the man do 3 times ?	turn to left	skip	shake hands	spin on robot vacuum	sway while singing	2	ACTION25	104
tumblr_nk1xk81o7r1suivgao1_100	What does the man in middle do 6 times ?	bob	carry cat	peck toward a dog	see something	stretch arms	4	ACTION26	107
tumblr_na2duflUs81qjy8vdo1_250	What does the cup do 2 times ?	toss a chick	twist	move here and there	tip other's back	reel	1	ACTION27	111
tumblr_nktzi2r1pm1s6zpepo1_250	What does the woman do 5 times ?	shake hips	skip	hand sign	flail	grin	0	ACTION28	113
tumblr_npnqz3jhuK1uy0r68o1_400	What does the man do 2 times ?	step	shake	strum strings	dance with arm	puff	3	ACTION29	120
tumblr_nabblbPyrT1sm80wvo1_250	What does the man do 3 times ?	skip	shake hips	spin on robot vacuum	bounce to the right	strum an instrument	1	ACTION30	121
tumblr_n8qskodLIl1qcty0ro1_250	What does the man do 2 times ?	shake head left and right	sidestep	rub jacket	tickle	high-fives	2	ACTION31	127
tumblr_npas92p2kc1tlavz3o1_250	What does the man do 8 times ?	paw	rub thumb across girls face	give someone a pat on the back	shake bottom	move by peoples	3	ACTION32	128
tumblr_nkotv8wlIM1spcxkpo1_250	What does the man do 4 times ?	pump fist	move by peoples	thrust	knock	bob	0	ACTION33	129
tumblr_nkz6pdyCaj1u3kb8vo1_400	What does the character do 2 times ?	turn page of a book	blink	move by peoples	poke girl on left	hold chicken	1	ACTION34	131
tumblr_nox6s4xcyS1qlpngeo1_250	What does the woman do 3 times ?	rotate waist	pointing mouth	blink	hi-five	thrust	0	ACTION35	132
tumblr_n8s3uuQzKT1th8yo9o1_250	What does the woman do 3 times ?	wag their hand	twerk	pose	change lanes on a motorcycle	strum guitar	2	ACTION36	136
tumblr_n9tafbGrs81tigkp3o1_250	What does the young person do 3 times ?	push hair	thrust	step	swivel chair	jump from left to right	0	ACTION37	137
tumblr_ndnpu9mtRU1tf56nmo1_250	What does the man do 3 times ?	move by peoples	take bites of noodles	step	work out on bar	bob iteslf	2	ACTION38	139
tumblr_npggrt6yGY1qfegl2o1_100	What does the man do 10 or more than 10 times ?	paw	move a ball	jump around	strum	push	1	ACTION39	154
tumblr_nh2j9ov5zN1u4v3ypo1_250	What does the cat do 4 times ?	bob head around	move upward with rod	step	turn	work out on bar	1	ACTION40	155
tumblr_nop4j2lBf91u66hq1o1_250	What does the man on the ladder do 5 times ?	paddle harms	pat the back of man on the left	close their mouth	grab gem	step	4	ACTION41	158
tumblr_npsctpSizD1sfbmt2o1_400	What does the man do 2 times ?	sniff face of owner	puff lips	jog	holds a phone towards face	wiggle their fingers	2	ACTION42	160
tumblr_nqzmlck6ph1tsbbfxo1_250	What does the person do 3 times ?	close their mouth	step	grab gem	point a man on left	sway while singing	1	ACTION43	161
tumblr_n5llvieDbG1r5667oo1_400	What does the person do 3 times ?	pat back of the man on the left	flap a book	reach for something	move hips	step like a goose	3	ACTION44	163
tumblr_nbjzocuRok1sg1bkbo1_250	What does the woman do 2 times ?	grab	close their mouth	step down stair	position hands	pat	2	ACTION45	166
tumblr_nnzm18sXEV1rdynt3o1_500	What does the man do 10 or more than 10 times ?	sway while singing	strum guitar strings	close their mouth	step up	turn a brass cup	3	ACTION46	168
tumblr_nhcbcc3hpP1trx0seo1_250	What does the man do 5 times ?	clap by using their one hands	turn to left	shake up and down	take out	bang drum	4	ACTION47	169
tumblr_nkadad5IuT1u8s2kto1_250	What do the women do 3 times ?	walk on ground	point	jump cat	flap	hold girls hand	0	ACTION48	177
tumblr_no3wduG3hH1tv7hiqo1_250	What does the woman do 3 times ?	swing arm	shrug both shoulders at the same time	jump from left to right	snap	turn to left	0	ACTION49	181
tumblr_na0s3dPpS71tslt3ho1_250	What does the woman do 7 times ?	knock	holds a phone towards face	shuffle feet	fall toward a man	turn to left	2	ACTION50	186
tumblr_nlzw45qR691tatmmpo1_400	What does the man do 2 times ?	nod head	blink in the sky	peck	move here and there	stand up toward a baby	0	ACTION51	194
tumblr_nrjusdx7mI1u4nq4po1_250	What does the man do 6 times ?	fall	holds a phone towards face	tumble	thrust pelvic area	talk	3	ACTION52	196
tumblr_nawas0vIQn1t1n1yto1_250	What does the dog do 4 times ?	fall on the ground	turn head to the left	holds a phone towards face	flap wings in water	wag	4	ACTION53	199
tumblr_nqejwbHipf1rvbpzlo1_100	What does the woman do 2 times ?	pat a girl	raise hands	knock	run far from a tiger	move here and there	1	ACTION54	203
tumblr_nkm3c0WWGg1r41ww8o1_250	What does the woman do 3 times ?	shake hips	rub a man on left	skip	kiss other two men on left and right	flail	0	ACTION55	204
tumblr_n6u36o2N6k1sh8soeo1_250	What does the kid do 5 times ?	drop on woman	shake the other woman	bounce	swipe at the other person	turn to left	2	ACTION56	205
tumblr_njrew14sOF1sgeuwzo1_250	What does the man do 3 times ?	snap	make	take hands as heart	paddle in the bathtub	swing rod	4	ACTION57	208
tumblr_n99q0nGNwW1tb8wjmo1_250	What does the woman do 7 times ?	throw	put hand inside of a pumpkin	run legs	shrug	take a photo	2	ACTION58	212
tumblr_nk1jy0euIq1r39im9o1_250	What does the woman do 10 or more than 10 times ?	flick	stab	miss ball	nod head	shake sholder to the left and right	3	ACTION59	213
tumblr_nc0vafPqIK1sb9hvjo1_250	What does the woman do 4 times ?	take steps	sway body left and right	push another man	hand out award	present thumbs	0	ACTION60	217
tumblr_nqrjltLSqe1t0ujmxo1_250	What does the woman do 7 times ?	move mic	wiggle side to side	trot	turn woman	pat woman	1	ACTION61	218
tumblr_n9uxav9b1w1ts3h88o1_250	What does the man do 4 times ?	strum violin	take food	sway side to side	swirl sauce in pot	tumble	2	ACTION62	220
tumblr_ndbkcs1u3g1r6o49fo1_250	What does the man do 4 times ?	step like a goose	fall toward a man	sway	move head	tries to bite a toy	3	ACTION63	223
tumblr_nplc902OHu1rms5mko1_100	What does the person in center do 7 times ?	poke man in gray	sway body left and right	shake the other woman	hit a person	bounce	4	ACTION64	227
tumblr_nch6q3R7fb1s186v2o1_250	What does the man do 3 times ?	take steps while dragging a doll	nod head	shake sholder to the left and right	blink in the sky	stab	1	ACTION65	229
tumblr_ndq2pnhXee1ssdnwpo1_250	What does the man do 3 times ?	spin on watch	skip	shake body	jump to the right	strum	2	ACTION66	231
tumblr_np01q0qlEG1uva9gvo1_250	What does the woman do 2 times ?	swing arm	snap	split hair	hit a person	squeeze a doll	0	ACTION67	238
tumblr_nfj0orE6Ch1tmenbdo1_250	What does the woman do 9 times ?	walk stairs	hold a stick close to mouth	sway body left and right	wag	making face face	0	ACTION68	239
tumblr_nfhusw69iP1tdjuqvo1_250	What does the man do 2 times ?	bounce breasts	skip	shake a banana	jump stage	poke heads out	2	ACTION69	247
tumblr_npasg8M9Ru1uva9gvo1_250	What does the cat do 6 times ?	take bites of noodles	close their mouth	grab gem	wink eyes	step	4	ACTION70	249
tumblr_ncmftyRpXj1tmvz19o1_250	What does the man do 2 times ?	high-fives	rub hair	shake	make	strum	1	ACTION71	250
tumblr_ndmh57bR0i1rscnojo1_500	What does the man do 4 times ?	step forward	wink	point at another kid	close and open eyes	claw white cat	0	ACTION72	256
tumblr_no1hw0gK7B1utsqnbo1_250	What does the man do 2 times ?	step forward	sway with cat	close and open eyes	get kissed	grab	0	ACTION73	258
tumblr_njwym1G3dV1s6zpepo1_250	What does the man do 4 times ?	pull	jump toward a man	shake	bounce diving board	poke	3	ACTION74	262
tumblr_nfu9mlDYuY1u3hrs0o1_400	What does the man do 4 times ?	grab	laugh	shake hips	rub a man on left	knead a dog's back	2	ACTION75	265
tumblr_ndrkltorLn1tmenbdo1_250	What does the woman do 4 times ?	grab gem	point a man on left	close their mouth	step	position hands	3	ACTION76	270
tumblr_nnzklkaz6C1s7xevco1_250	What does the man do 3 times ?	twirl	pull	say	spin man	throw arms into air	4	ACTION77	279
tumblr_npat3wq34r1u2bkcbo1_250	What does the man do 5 times ?	knock	raise arms	wiggle	run	flap	1	ACTION78	282
tumblr_nrkjkmKD9v1ub38c0o1_250	What does the man do 5 times ?	rub brush to a girl	skip back and worth	sway while singing	shake head	thrash	3	ACTION79	284
tumblr_n98iupRJS41s8t6i8o1_250	What does the woman do 4 times ?	swing	throw kisses	pluck harp	blow kisses	hit hand with baton	4	ACTION80	285
tumblr_nkoitlC3uF1u8a8nuo1_400	What does the woman do 6 times ?	clap hands	move toward other man	hold soap	blast	stick out tongues	0	ACTION81	286
tumblr_mn2m9uCPlI1sqdyoko1_250	What does the woman do 5 times ?	clap hands	bang head of person on the left	hold soap	move toward other man	blast	0	ACTION82	287
tumblr_nfdddhdOuN1te5p35o1_250	What does the man do 5 times ?	shake head left and right	shimmy to right	high-fives	make	rub pillow	4	ACTION83	289
tumblr_npvbb8lyGq1rndm3wo1_250	What does the dog do 6 times ?	shake head	push any objects comes to him	skip back and worth	bounce over a piano	jump up and away from a spider	0	ACTION84	292
tumblr_ncqb5k6sMf1ssp6pho1_400	What does the man do 3 times ?	wave fingers	point	hump	roll down hill	go around the cons	0	ACTION85	295
tumblr_njynrhfOL71u2w55do1_250	What does the woman do 3 times ?	sway microphone left and right	tries to bite a toy	jump	swing arms back and fourth	air-drawing	2	ACTION86	299
tumblr_njy3m5Rnst1u2k31jo1_400	What does the man do 3 times ?	flail arms and legs	step	shimmy chicken	look at each other	gyrate hips out	1	ACTION87	300
tumblr_nplo7tJNad1s71nvbo1_250	What does the woman do 2 times ?	appear	lightning	use brush	sway bottom out	attack man	4	ACTION88	304
tumblr_nakbt6LRF21rfeuf2o1_250	What does the man do 3 times ?	turn their light on	skip back and worth	jump to somewhere	poke man in gray	shake butt	4	ACTION89	307
tumblr_nqvly7rElE1trdw2po1_400	What does the man do 3 times ?	bounce to the right	bark	shake hips	skip	move to right	2	ACTION90	308
tumblr_nch18l2hu31tdmffyo1_250	What does the horse do 3 times ?	move here and there	paw toward a cat	nod head	stab	miss ball	2	ACTION91	310
tumblr_ngbw0ySxFj1slj978o1_250	What does the man do 3 times ?	run far from a tiger	step on the mat	jump	tries to bite a toy	flip a woman	2	ACTION92	314
tumblr_nqcy30Sisb1rxqsz9o1_100	What does the man do 10 or more than 10 times ?	squeeze a cat	snap	split hair	undulate	swing hips	4	ACTION93	317
tumblr_njytglV7551u2w55do1_250	What does the woman do 2 times ?	spin head	flip a woman	shake	swing arms back and fourth	pointing mouth	0	ACTION94	324
tumblr_np87646i8F1t95h1uo1_250	What does the kitten do 3 times ?	struggle	react to hands	blink turnlight	point	sit	1	ACTION95	326
tumblr_nf65f4hvK91tspb27o1_250	What does the animal do 4 times ?	puff	poke man in gray	move upward with rod	blink eyes	hold soap	3	ACTION96	327
tumblr_naf98g2rds1sdfppno1_250	What does the boy do 3 times ?	cradle figurine	blink eyes	shake	twitch	poke man in gray	1	ACTION97	330
tumblr_nk9ravNQ9x1t9gbgeo1_400	What does the blond woman do 3 times ?	tries to bite a toy	jump	run far from a tiger	air-drawing	sway microphone left and right	1	ACTION98	338
tumblr_nly14t88s51uqlnuqo1_250	What does the man do 3 times ?	jump to the right	spin on robot vacuum	skip	shake hips	poke	3	ACTION99	340
tumblr_ncr4aaumad1tnw2l6o1_250	What does the man do 2 times ?	push a man	nod head	strum the guitar	move to right	stab	1	ACTION100	341
tumblr_nf46vxvBiv1ts3zgzo1_250	What does the woman do 5 times ?	pat back of the man on the left	shake hips	bounce to the right	skip	back up	1	ACTION101	344
tumblr_nofgkuWHVW1sapclfo1_400	What does the boy do 3 times ?	swing horn	bounce breasts	tries to bite a toy	hit bouquet	jump from left to right	4	ACTION102	353
tumblr_na9or8meRj1s00xj9o1_250	What does the woman do 4 times ?	position hands	close legs	jump at pumpkin	grab gem	step	4	ACTION103	355
tumblr_nmk8dr3pHJ1so6otoo1_250	What does the man do 2 times ?	dribble	lick	rub beard	shake head left and right	thrust	2	ACTION104	357
tumblr_nf12gdBIOv1s44iuio1_250	What does the man do 2 times ?	sway bottom out	hit drum	bounce up and down	swing arms back and fourth	turn	1	ACTION105	358
tumblr_nck4lhskuz1ryh0tpo1_250	What does the man do 5 times ?	flap	somersault	shuffle	hop feet	flick	3	ACTION106	360
tumblr_na3cj6BADn1sgc9lmo1_250	What does the dog do 3 times ?	roll eyes left and right	circle tree	sway	strum	jump let	1	ACTION107	367
tumblr_nb7ivtKMVv1r9n9rmo1_250	What does the woman do 3 times ?	make a turn	shake hips left and right	speak	ruffle hair	scream	4	ACTION108	378
tumblr_nqqu0prge01rtvyexo1_400	What does the woman do 2 times ?	skip	rub girls head	move	shake fingers	pull another man's jersey	3	ACTION109	380
tumblr_nqor6rsMNH1tl0di8o1_250	What does the man do 10 or more than 10 times ?	fall	knead	twerk posterior	talk	stuff marshmallow	2	ACTION110	383
tumblr_nb9f1thl6p1suglv2o1_250	What does the man do 4 times ?	twirl rubix cube	strum	close left eye	grab	step dance	4	ACTION111	384
tumblr_n8r0psDymk1sfslmbo1_250	What does the firework do 2 times ?	move head to a shirt	jump on a bed	deal invisible cards	picked up ball	launch	4	ACTION112	385
tumblr_n9uai4hwxT1slj978o1_250	What does the man do 6 times ?	fall	jump stage	blow kisses	hit an object	stab	3	ACTION113	386
tumblr_nbov7h7aQ71tbsftyo1_250	What does the brown colored dog do 10 or more than 10 times ?	juggle	gallop	fall	wag tail	talk	3	ACTION114	389
tumblr_nommwv79LM1sjxzjio1_250	What does the woman do 10 or more than 10 times ?	pat back of the man on the left	fall	move	talk	shimmy chest	4	ACTION115	391
tumblr_nqqo9kXA4M1uyxg0lo1_250	What does the person do 5 times ?	throw a gun slightly	say	jump tub	move	flap	0	ACTION116	392
tumblr_nqyqpgjHM01rsue8go1_250	What does the woman do 10 or more than 10 times ?	mop floor	shake hip	flip	skip	rub a man on left	1	ACTION117	393
tumblr_nf2r480Lw71u3fnoso1_400	What does the dog do 5 times ?	stick out tongue	shake	sway microphone left and right	skip	pull woman	0	ACTION118	398
tumblr_ne3h32l51G1tzsy9xo1_400	What does the man do 10 or more than 10 times ?	bob head to left	fall	twirl	look	strum guitar	4	ACTION119	399
tumblr_nfrl0s2Qyq1tsrcx9o1_400	What does the girl do 2 times ?	turn around	strum guitar	side step legs	set a disk	skip back and worth	0	ACTION120	404
tumblr_ner7xxoCQi1svoapzo1_400	What does the person do 10 or more than 10 times ?	tilt	move white clay	flap	hand out award	take steps	4	ACTION121	411
tumblr_njpymjMrAG1tcdabeo1_400	What does the flag do 5 times ?	spin over a food	change lanes on a motorcycle	go around the cons	wave	jump on a bed	3	ACTION122	413
tumblr_nncchlT4cy1s99kqfo1_250	What does the train do 7 times ?	say	ran	pass pole	move to right	twirl a child	2	ACTION123	420
tumblr_no7wqm3NxU1sazxqfo1_540	What do the drops do 5 times ?	strum microphone	move eyebrows	fall	hit the drum with right hand	show each girl	2	ACTION124	422
tumblr_nd7v9mGWXF1r69zqio1_250	What does the woman do 2 times ?	exhale smoke	fall	point	sway to the side	twirl	0	ACTION125	423
tumblr_no1mk7jC1j1tte9oio1_250	What does the woman do 2 times ?	fall	move head up and down	flick lighter	talk	bob head up and down	2	ACTION126	425
tumblr_n8xdawheqQ1qzydejo1_250	What does the man on front do 2 times ?	turn around	side step legs	set a disk	skip back and worth	use pogo stick	0	ACTION127	426
tumblr_ndykv00oqB1t51f30o1_250	What does the man do 7 times ?	whirl arms	raise left eyebrow	knock	strum violin	twirl woman	1	ACTION128	427
tumblr_nbcoqfnImM1rc74bgo1_250	What does the boy do 10 or more than 10 times ?	skip	shake body	jump to the right	poke	pat	1	ACTION129	432
tumblr_ngdkhyavsN1sqzwmeo1_250	What does the girl on left do 10 or more than 10 times ?	paddle in the bathtub	bounce over a piano	go around the cons	grab	wave hands	4	ACTION130	434
tumblr_n8w3fjwphy1qmqlcto1_250	What does the man do 5 times ?	jump on stage	swing arms back and fourth	move white clay	bounce tire	air-drawing	0	ACTION131	435
tumblr_njwzevWm1e1unwnm0o1_250	What does the man do 3 times ?	fall	wiggle	crunch	move had	bob head	4	ACTION132	436
tumblr_njwjezWgku1qm0hcwo1_250	What does the woman on right do 6 times ?	draw on eyebrow	tap another person	flip	bob	highlight pages	1	ACTION133	442
tumblr_npnpv5IBj11qcprf2o1_250	What does the man do 8 times ?	push any objects comes to him	skip	slap a man on left	shake head	hump the carpet	3	ACTION134	443
tumblr_npmzobRTDY1tjdvfuo1_400	What does the cat do 2 times ?	talk	fall over	skip	paw paper	giggle	3	ACTION135	445
tumblr_nfggtzJj401rw4ndto1_400	What does the woman do 2 times ?	run	spin around on a stage	point up to the left	throw shoe	say	3	ACTION136	447
tumblr_npda9gNUau1r1syyfo1_250	What does the jet ski do 2 times ?	swing arms back and fourth	step on the mat	jump	hit head on the piano	move toward other man	2	ACTION137	453
tumblr_npvfspuntN1seso9ho1_250	What does the man in white shirt do 2 times ?	grab	go up and down	wiggle	wave hand	wag	3	ACTION138	458
tumblr_npyn4dXk9C1qdj07ao1_250	What does the money do 7 times ?	strum	turn head left and right	drag with mouth	carry cat	drop money	4	ACTION139	462
tumblr_nq70vv6JMN1uyjnwpo1_250	What does the man do 10 or more than 10 times ?	pat	shake	rub	scratch cat's head	stride	3	ACTION140	466
tumblr_noj4pyOv681sese4lo1_250	What does the man do 7 times ?	air-drawing	strum guitar	bounce over a piano	jump	paw at a bean	3	ACTION141	467
tumblr_nrbadcfz6Q1uahi84o1_250	What does the man do 4 times ?	kiss woman's cheek	shrug	spit	blink	jerk	0	ACTION142	470
tumblr_nr8r3pQThM1raiksvo1_250	What does the woman do 2 times ?	pat back of the man	fall toward a man	puff smoke	talk	stuff marshmallow	2	ACTION143	485
tumblr_no8v65M0XO1sqn5zco1_250	What does the man do 3 times ?	look sideways	strum guitar	picked up ball	turn a brass cup	takes off the outer part of a toy	0	ACTION144	493
tumblr_nnvc3yNgBD1txe9bpo1_250	What does the boy do 3 times ?	stand	pass	kick ball	move to right	slap a woman	2	ACTION145	499
tumblr_npa7td25Wa1upasago1_250	What does the woman do 2 times ?	shake head	skip	sway while singing	slap a man on left	bounce over a piano	0	ACTION146	501
tumblr_npgejjZZPX1unb4sno1_250	What does the dog do 9 times ?	skip	put the money on the table	fall	move up and down	wag tail	4	ACTION147	503
tumblr_nrfvfgwhJv1tkylpbo1_250	What does the woman do 4 times ?	shake	dig	toss hair	bounce to the right	take steps across the stage	2	ACTION148	507
tumblr_np3bxcioZb1sh6t2vo1_250	What does the girl on far right do 6 times ?	moves lip	wave	pull	wind toy	pointing mouth	3	ACTION149	508
tumblr_np652e9YtM1u5zvmro1_250	What does the woman do 4 times ?	take a step back	sway to the side	spray paint	swipe at the other person	bring hand in front of face	2	ACTION150	512
tumblr_nrcuw5mGkK1s6shwio1_250	What does the man do 4 times ?	stretch	lift arm	step to right	swing	slide	1	ACTION151	517
tumblr_no550c1bqM1uoknoco1_250	What does the person do 7 times ?	apply	brush cat's fur	bend down	strum	fill pipe	1	ACTION152	519
tumblr_np8607D6pL1sd000ro1_250	What does the teen do 3 times ?	take steps	turn head left and right	pat the back of the other man	run far from a tiger	hand out award	0	ACTION153	522
tumblr_now9nnDIYt1sjnj4ho1_250	What does the teen do 10 or more than 10 times ?	close left eye	step stairs	sway	grab	position hands	1	ACTION154	523
tumblr_nnnm0gANxC1tpefzeo1_250	What does the woman do 4 times ?	fall toward a man	look at each other	sway head	talk	stuff marshmallow	2	ACTION155	524
tumblr_noyz2pZPnm1tv3f0ao1_250	What does the guy do 8 times ?	bounce body	bump with other man	move hand from right to left	shake	backflip	0	ACTION156	525
tumblr_nqjanq2Yf21u01mqjo1_250	What does the girl in front do 5 times ?	turn their light on	nod head	blink in the sky	shimmy to right	shake sholder to the left and right	1	ACTION157	527
tumblr_nodhsjtSfs1u3mblfo1_250	What does the boy in front do 4 times ?	whip head back and forth	wag their hand	pass other cars	punch man in black	kick	4	ACTION158	528
tumblr_nonr0tGRKk1tuh6cmo1_250	What does the African American girl do 3 times ?	juggle	shake twisted hair	flip	paw	wiggle fingers up and down	1	ACTION159	543
tumblr_np2fz6psLt1u835uxo1_250	What does the cat do 3 times ?	thrust	sway	point	swipe the stick	take out	3	ACTION160	544
tumblr_nqmadt8FxZ1qel4ato1_250	What does the woman do 4 times ?	chew	do hand guesture	blow exhaust toward man's face	shake their body	puff smoke ring	0	ACTION161	547
tumblr_nq28gb0j6Q1ta2m5mo1_250	What does the woman do 2 times ?	pick	push	swipe	bob around	run finger hair	4	ACTION162	549
tumblr_nojycn5Bbk1r0t9zho1_250	What does the woman do 2 times ?	apply	sweep	tumble	scratch pet	brush hair with fingers	4	ACTION163	550
tumblr_nqoxvoBYei1qhoez4o1_250	What does the woman do 5 times ?	twist knees while dancing	skip	shake butt	jump to somewhere	jostle puppy	2	ACTION164	553
tumblr_nfadw7Maig1t25z5go1_250	What does the cat do 2 times ?	break	high-fives	rub the girls back	lick hand	strum the guitar	3	ACTION165	566
tumblr_npq8b9uHpK1tbpp47o1_250	What does the man do 3 times ?	move to right	raise an eyebrow	lift body	swing	whirl finger	2	ACTION166	572
tumblr_nc068cLGhS1sm63wlo1_250	What does the cat do 2 times ?	turn head	tumble	side step legs	set a disk	twirl	0	ACTION167	575
tumblr_noekb5rsct1tqrng0o1_250	What does the woman do 7 times ?	position hands	close and open eyes	jump basketball court	grab gem	step down	4	ACTION168	580
tumblr_nd6q84pScU1s3akogo1_250	What does the boy do 3 times ?	pat back of guest	go up and down	paw toward an object	wave arms	grab	3	ACTION169	584
tumblr_nevsz0P8rz1tk2ngvo1_250	What does the baby do 5 times ?	point to something	poke man in gray	shake the other woman	bounce	turn head to the left	3	ACTION170	594
tumblr_nkaig8e1P11u9cs5co1_400	What does the woman on left do 3 times ?	thrust	fall	pat someone's hands	turn	talk	2	ACTION171	595
tumblr_namc1108Zv1tdjuqvo1_250	What does the man do 2 times ?	stab another man	blow	comb monkey's haird	hit bottle	bounce back and forth	3	ACTION172	596
tumblr_nrd3huzoRL1teewepo1_250	What does the woman do 2 times ?	wave hands	step before jump into the pool	go up and down	bounce over a piano	grab	0	ACTION173	604
tumblr_nel2faXsI81slj978o1_250	What does the cat do 5 times ?	shake leg	skip	jump to somewhere	poke man in gray	shrug	0	ACTION174	606
tumblr_m4ndfbW8bf1r0gzaco1_250	What does the guy do 2 times ?	pointing mouth	spin drumsticks	shake head left and right	force hand	shimmy to right	1	ACTION175	608
tumblr_nb6md6dSAj1ratlmco1_250	What does the monkey do 2 times ?	sway	grab food	jump from left to right	strum	tumble	1	ACTION176	610
tumblr_npjgiqpFYY1rg2ligo1_250	What does the woman in foreground do 8 times ?	strum the guitar	fall off from a machine	close fingers	paw at a bean	tilt head	4	ACTION177	613
tumblr_nq513gHanH1s1e767o1_250	What does the man do 4 times ?	point up to the left	gallop the snow	poke girl on left	move to right	bounce arm	4	ACTION178	615
tumblr_njnhnfxkDq1rdp63jo1_250	What does the woman do 2 times ?	blink eyes	poke heads out	hold soap	shake	tussle another man's hair	0	ACTION179	617
tumblr_nonekaZ7bk1qze0hyo1_250	What does the white cat on top do 10 or more than 10 times ?	talk	take out	make	fall	paw toward a gray cat below white cat	4	ACTION180	618
