gif_name	question	answer	vid_id	key
tumblr_nqc2mbmU2J1uxhtnwo1_400	How many times does the woman chew food ?	4	COUNT1	5
tumblr_nd53vw6Crc1r7na6zo1_400	How many times does the man wave his head ?	5	COUNT2	16
tumblr_nekvrnW3rh1sxaoaro1_400	How many times does the woman sway hips ?	5	COUNT3	21
tumblr_nk172bbdPI1u1lr18o1_250	How many times does the butterfly flap wings ?	10	COUNT4	26
tumblr_npvbzhDifH1sgulfgo1_250	How many times does the woman shake her fists ?	10	COUNT5	33
tumblr_nexzlj5e6C1u2tewlo1_250	How many times does the woman take steps ?	6	COUNT6	35
tumblr_nc7ddgZRVe1qmoqlto1_400	How many times does the man grab a belt ?	2	COUNT7	36
tumblr_njojltnMEr1u8uuuso1_250	How many times does the man put his hand under his body ?	2	COUNT8	39
tumblr_n9bl6nuCId1tu1wxio1_400	How many times does the man nod head ?	3	COUNT9	40
tumblr_nb6hw14zjB1thjsh8o1_250	How many times does the woman swing her arm ?	4	COUNT10	44
tumblr_nci5qbHspi1ts3h88o1_250	How many times does the man kick ?	6	COUNT11	45
tumblr_nezfs4uELd1u1a7cmo1_250	How many times does the man adjust waistband ?	3	COUNT12	52
tumblr_m6dwyyGQlh1r4glwho1_250	How many times does the man step ?	8	COUNT13	60
tumblr_no5ozbdI041rs3gv1o1_250	How many times does the man wave head ?	5	COUNT14	63
tumblr_nq7mte3g2c1uxkmnto1_400	How many times does the man in white pull up shirt ?	2	COUNT15	65
tumblr_nh5nhnKmmb1u2a5o6o1_250	How many times does the woman turn hips ?	3	COUNT16	66
tumblr_nadgs9WTuj1taadn9o1_250	How many times do the women shift hips ?	4	COUNT17	69
tumblr_nqfhegeUAz1uz0hico1_250	How many times does the man rub his hand ?	3	COUNT18	70
tumblr_nqa7lrXdot1un47qio1_100	How many times does the man dance ?	2	COUNT19	72
tumblr_njabihiB4w1tuh8exo1_400	How many times does the woman swing her arm ?	2	COUNT20	77
tumblr_ndczvoKAOJ1u0du9uo1_250	How many times does the woman swing arms ?	2	COUNT21	91
tumblr_naj2f9Werh1sf8k6bo1_r2_250	How many times does the woman in the middle jump up and down ?	9	COUNT22	94
tumblr_mzydvj6lzL1tq903to1_250	How many times does the man move head ?	3	COUNT23	97
tumblr_ne47rccySt1rlvlj0o1_250	How many times does the man wave his hand ?	3	COUNT24	102
tumblr_ne88jo6JOW1u0lffxo1_400	How many times does the man shake hands ?	3	COUNT25	104
